Tarikh,Negeri,Kes Baharu,Kes Keseluruhan,Kematian Baharu,Kematian Keseluruhan,Populasi Dewasa,Peratus Populasi Dewasa,Menerima Dos Pertama,Menerima Dos Kedua,Kumpulan Keutamaan yang Berdaftar,Peratusan Vaksinasi %,Jumlah Belum Berdaftar
2020-03-22,Negeri Sembilan,8,78,0,0,,,,,,,
2020-03-22,Melaka,1,23,0,1,,,,,,,
2020-03-22,Johor,16,145,0,1,,,,,,,
2020-03-22,Pahang,3,40,0,0,,,,,,,
2020-03-22,Terengganu,5,32,0,0,,,,,,,
2020-03-22,Kelantan,2,63,1,1,,,,,,,
2020-03-22,Sabah,22,158,0,1,,,,,,,
2020-03-22,Sarawak,8,76,2,3,,,,,,,
2020-03-22,Kuala Lumpur,17,183,1,1,,,,,,,
2020-03-22,Putrajaya,0,9,0,0,,,,,,,
2020-03-22,Labuan,0,5,0,0,,,,,,,
2020-03-23,Perlis,0,9,0,1,,,,,,,
2020-03-23,Kedah,7,59,0,0,,,,,,,
2020-03-23,Pulau Pinang,8,66,0,1,,,,,,,
2020-03-23,Perak,15,81,0,0,,,,,,,
2020-03-23,Selangor,45,354,0,0,,,,,,,
2020-03-23,Negeri Sembilan,16,94,0,0,,,,,,,
2020-03-23,Melaka,2,25,0,1,,,,,,,
2020-03-23,Johor,13,158,1,2,,,,,,,
2020-03-23,Pahang,16,56,0,0,,,,,,,
2020-03-23,Terengganu,6,38,0,0,,,,,,,
2020-03-23,Kelantan,8,71,0,1,,,,,,,
2020-03-23,Sabah,11,169,0,1,,,,,,,
2020-03-23,Sarawak,2,78,2,5,,,,,,,
2020-03-23,Kuala Lumpur,59,242,1,2,,,,,,,
2020-03-23,Putrajaya,4,13,0,0,,,,,,,
2020-03-23,Labuan,0,5,0,0,,,,,,,
2020-03-24,Perlis,0,9,0,1,,,,,,,
2020-03-24,Kedah,5,64,0,0,,,,,,,
2020-03-24,Pulau Pinang,2,68,0,1,,,,,,,
2020-03-24,Perak,17,98,0,0,,,,,,,
2020-03-24,Selangor,27,381,0,0,,,,,,,
2020-03-24,Negeri Sembilan,15,109,0,0,,,,,,,
2020-03-24,Melaka,6,31,0,1,,,,,,,
2020-03-24,Johor,4,162,1,3,,,,,,,
2020-03-24,Pahang,0,56,0,0,,,,,,,
2020-03-24,Terengganu,0,38,0,0,,,,,,,
2020-03-24,Kelantan,7,78,0,1,,,,,,,
2020-03-24,Sabah,1,170,0,1,,,,,,,
2020-03-24,Sarawak,5,83,0,5,,,,,,,
2020-03-24,Kuala Lumpur,15,257,0,2,,,,,,,
2020-03-24,Putrajaya,2,15,0,0,,,,,,,
2020-03-24,Labuan,0,5,0,0,,,,,,,
2020-03-25,Perlis,1,10,0,1,,,,,,,
2020-03-25,Kedah,5,69,0,0,,,,,,,
2020-03-25,Pulau Pinang,2,70,0,1,,,,,,,
2020-03-25,Perak,30,128,0,0,,,,,,,
2020-03-25,Selangor,54,435,0,0,,,,,,,
2020-03-25,Negeri Sembilan,14,123,0,0,,,,,,,
2020-03-25,Melaka,2,33,0,1,,,,,,,
2020-03-25,Johor,34,196,3,6,,,,,,,
2020-03-25,Pahang,8,64,0,0,,,,,,,
2020-03-25,Terengganu,0,38,0,0,,,,,,,
2020-03-25,Kelantan,6,84,0,1,,,,,,,
2020-03-25,Sabah,0,170,0,1,,,,,,,
2020-03-25,Sarawak,2,85,0,5,,,,,,,
2020-03-25,Kuala Lumpur,13,270,1,3,,,,,,,
2020-03-25,Putrajaya,1,16,0,0,,,,,,,
2020-03-25,Labuan,0,5,0,0,,,,,,,
2020-03-26,Perlis,0,10,0,1,,,,,,,
2020-03-26,Kedah,3,72,1,1,,,,,,,
2020-03-26,Pulau Pinang,4,74,0,1,,,,,,,
2020-03-26,Perak,23,151,1,1,,,,,,,
2020-03-26,Selangor,75,510,0,0,,,,,,,
2020-03-26,Negeri Sembilan,9,132,0,0,,,,,,,
2020-03-26,Melaka,0,33,0,1,,,,,,,
2020-03-26,Johor,43,239,1,7,,,,,,,
2020-03-26,Pahang,2,66,0,0,,,,,,,
2020-03-26,Terengganu,1,39,0,0,,,,,,,
2020-03-26,Kelantan,10,94,1,2,,,,,,,
2020-03-26,Sabah,2,172,0,1,,,,,,,
2020-03-26,Sarawak,10,95,0,5,,,,,,,
2020-03-26,Kuala Lumpur,51,321,0,3,,,,,,,
2020-03-26,Putrajaya,2,18,0,0,,,,,,,
2020-03-26,Labuan,0,5,0,0,,,,,,,
2020-03-27,Perlis,0,10,0,1,,,,,,,
2020-03-27,Kedah,1,73,0,1,,,,,,,
2020-03-27,Pulau Pinang,6,80,0,1,,,,,,,
2020-03-27,Perak,8,159,1,2,,,,,,,
2020-03-27,Selangor,36,546,1,1,,,,,,,
2020-03-27,Negeri Sembilan,6,138,0,0,,,,,,,
2020-03-27,Melaka,0,33,0,1,,,,,,,
2020-03-27,Johor,20,259,0,7,,,,,,,
2020-03-27,Pahang,4,70,0,0,,,,,,,
2020-03-27,Terengganu,2,41,0,0,,,,,,,
2020-03-27,Kelantan,4,98,0,2,,,,,,,
2020-03-27,Sabah,10,182,0,1,,,,,,,
2020-03-27,Sarawak,15,110,0,5,,,,,,,
2020-03-27,Kuala Lumpur,16,323,1,4,,,,,,,
2020-03-27,Putrajaya,2,34,0,0,,,,,,,
2020-03-27,Labuan,0,5,0,0,,,,,,,
2020-03-28,Perlis,0,10,0,1,,,,,,,
2020-03-28,Kedah,1,74,0,1,,,,,,,
2020-03-28,Pulau Pinang,6,86,0,1,,,,,,,
2020-03-28,Perak,6,165,0,2,,,,,,,
2020-03-28,Selangor,33,579,0,1,,,,,,,
2020-03-28,Negeri Sembilan,15,153,0,0,,,,,,,
2020-03-28,Melaka,9,42,0,1,,,,,,,
2020-03-28,Johor,26,285,1,8,,,,,,,
2020-03-28,Pahang,14,84,0,0,,,,,,,
2020-03-28,Terengganu,4,45,0,0,,,,,,,
2020-03-28,Kelantan,10,108,0,2,,,,,,,
2020-03-28,Sabah,15,197,0,1,,,,,,,
2020-03-28,Sarawak,8,118,0,5,,,,,,,
2020-03-28,Kuala Lumpur,7,344,0,4,,,,,,,
2020-03-28,Putrajaya,0,20,0,0,,,,,,,
2020-03-28,Labuan,5,10,0,0,,,,,,,
2020-03-29,Perlis,0,10,0,1,,,,,,,
2020-03-29,Kedah,1,75,0,1,,,,,,,
2020-03-29,Pulau Pinang,1,87,0,1,,,,,,,
2020-03-29,Perak,11,176,1,3,,,,,,,
2020-03-29,Selangor,33,612,0,1,,,,,,,
2020-03-29,Negeri Sembilan,9,162,1,1,,,,,,,
2020-03-29,Melaka,1,43,0,1,,,,,,,
2020-03-29,Johor,24,309,2,10,,,,,,,
2020-03-29,Pahang,12,96,0,0,,,,,,,
2020-03-29,Terengganu,2,47,0,0,,,,,,,
2020-03-29,Kelantan,15,123,0,2,,,,,,,
2020-03-29,Sabah,0,197,0,1,,,,,,,
2020-03-29,Sarawak,11,129,0,5,,,,,,,
2020-03-29,Kuala Lumpur,28,372,3,7,,,,,,,
2020-03-29,Putrajaya,2,22,0,0,,,,,,,
2020-03-29,Labuan,0,10,0,0,,,,,,,
2020-03-30,Perlis,1,11,0,1,,,,,,,
2020-03-30,Kedah,2,77,0,1,,,,,,,
2020-03-30,Pulau Pinang,1,88,0,1,,,,,,,
2020-03-30,Perak,8,184,0,3,,,,,,,
2020-03-30,Selangor,60,672,1,2,,,,,,,
2020-03-30,Negeri Sembilan,10,172,0,1,,,,,,,
2020-03-30,Melaka,7,50,0,1,,,,,,,
2020-03-30,Johor,24,333,0,10,,,,,,,
2020-03-30,Pahang,3,99,0,0,,,,,,,
2020-03-30,Terengganu,0,47,0,0,,,,,,,
2020-03-30,Kelantan,4,127,0,2,,,,,,,
2020-03-30,Sabah,4,201,0,1,,,,,,,
